# Echoe ID Refactor (Big Bang) - Progress

## Codebase Patterns
- Use business ID columns (`*_id`) for all domain relations; keep numeric `id` only as internal auto-increment primary key.
- Use `generateTypeId(OBJECT_TYPE.XXX)` for all new Echoe domain IDs.
- Preserve uid-scoped query isolation in all backend read/write paths.
- Treat migration as one-shot Big Bang change set with strict quality gates.

## User Stories Progress

| ID | Title | Status |
|----|-------|--------|
| US-001 | Add Echoe OBJECT_TYPE constants | [ ] |
| US-002 | Extend generateTypeId for Echoe prefixes | [ ] |
| US-003 | Refactor notes and cards schema to business IDs | [ ] |
| US-004 | Refactor decks/notetypes/templates schema | [ ] |
| US-005 | Refactor revlog/col/deck-config schema | [ ] |
| US-006 | Refactor graves/media schema and index alignment | [ ] |
| US-007 | Finalize schema exports and build input | [ ] |
| US-008 | Generate migration for ID refactor | [ ] |
| US-009 | Run migration and verify constraints | [ ] |
| US-010 | Convert core DTO entity ID types to string | [ ] |
| US-011 | Convert DTO command and query payload IDs | [ ] |
| US-012 | Build DTO package after ID contract changes | [ ] |
| US-013 | Refactor note service to string business IDs | [ ] |
| US-014 | Refactor deck service to string business IDs | [ ] |
| US-015 | Refactor study and stats services to string IDs | [ ] |
| US-016 | Refactor import/export services for string IDs | [ ] |
| US-017 | Refactor remaining Echoe services to string IDs | [ ] |
| US-018 | Remove legacy numeric Echoe ID generator usage | [ ] |
| US-019 | Refactor core Echoe controllers for string ID params | [ ] |
| US-020 | Refactor edge Echoe controllers for string ID params | [ ] |
| US-021 | Update web API client signatures to string IDs | [ ] |
| US-022 | Update web services ID state types | [ ] |
| US-023 | Update cards pages for string ID routing and actions | [ ] |
| US-024 | Add and update tests for string-ID migration behavior | [ ] |
| US-025 | Run mandatory migration quality gates | [ ] |

---

## Execution Log

